term_id,canonical_term,term_category,definition,authoritative_source_refs,machine_field_names,canonical_contract_names,allowed_aliases,prohibited_aliases,related_terms,visibility_or_audience_notes,drift_risk_level,notes,source_heading_or_logical_block
TERM_CUSTOMER_SAFE_PROJECTION,Customer Safe Projection,portal,"The shared FE-41/FE-70 boundary contract for portal workspaces, customer request lists, customer-visible collaboration detail, customer-visible collaboration activity and attachment reads, customer-visible workspace stream events, customer-visible notifications, document requests, approval packs, onboarding journeys, and client timeline events. It freezes customer-safe-only status and action derivation, explicit limitation and recovery notices, current-versus-history artifact posture, hidden-activity suppression, customer-safe module and metadata projection, customer-visible-only attachment scope, internal-only delta exclusion during live updates, exclusion of internal draft placeholders, same-shell notification navigation, customer-visible export scope, and the blocked staff signal classes `ASSIGNMENT_STATE`, `ESCALATION_LOGIC`, `RAW_GATE_STATE`, `STAFF_REASON_CODES`, `AUDIT_LINEAGE`, `INTERNAL_ACTIVITY`, `INTERNAL_ATTACHMENTS`, `INTERNAL_PARTICIPANTS`, `INTERNAL_COUNTS`, and `STAFF_ROUTE_CONTEXT`.",Algorithm/collaboration_workspace_contract.md | Algorithm/data_model.md | Algorithm/frontend_shell_and_interaction_law.md | Algorithm/glossary.md::L386[customer-safe-projection],customer_safe_projection | customer_safe_projection_contract,CustomerSafeProjectionContract,Customer Safe Projection | customer_safe_projection,,TERM_CLIENT | TERM_GATE | TERM_ROUTE_CONTEXT | TERM_VISIBILITY_BOUNDARY_CLASSES,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_DECISION_BUNDLE,Decision Bundle,core_engine,"The set of artifacts created by a run: snapshot, compute result, risk, trust, evidence graph, twin view, filing packet, and terminal workflow refs.",Algorithm/core_engine.md#outputs-decisionbundle | Algorithm/data_model.md::L1054[DecisionBundle] | Algorithm/data_model.md::L1252[DecisionBundle] | Algorithm/glossary.md::L41[decision-bundle] | Algorithm/manifest_and_config_freeze_contract.md#decision-bundle-hash,decision_bundle,DecisionBundle,Decision Bundle,,TERM_SNAPSHOT,,low,,Core engine terms
TERM_DECLARED_ASSERTION,DECLARED_ASSERTION,evidence,A human-entered statement that may be required for completion but is not yet corroborated by stronger evidence.,Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,DECLARED_ASSERTION,DECLARED_ASSERTION | Declared Assertion,,,,high,,4.3 Source classes by origin
TERM_DELEGATE,Delegate,authority,A principal acting on behalf of the reporting subject under an explicit delegation basis.,Algorithm/actor_and_authority_model.md#3-2-core-concepts,,Delegate,Delegate,,TERM_PRINCIPAL | TERM_REPORTING_SUBJECT,,high,,3.2 Core concepts
TERM_DELEGATED_CLIENT_AUTHORITY,Delegated client authority,authority,"The authority granted by the reporting subject to an agent or software-mediated delegate to act on their behalf. In the current HMRC embodiment, agents need an agent services account and client authorisation, and software authorisation is granted through the HMRC OAuth flow. [1]",Algorithm/actor_and_authority_model.md#3-4-authority-layers,,,Delegated client authority,,TERM_AUTHORITY | TERM_CLIENT | TERM_DELEGATE | TERM_GATE | TERM_REPORTING_SUBJECT | TERM_VISIBILITY_BOUNDARY_CLASSES,Customer-safe or customer-visible wording must not redefine internal operator semantics.,high,,3.4 Authority layers
TERM_DELEGATION_GRANT,Delegation Grant,authority,A persisted record stating that a given delegate may act for a given reporting subject in a defined scope.,Algorithm/actor_and_authority_model.md | Algorithm/actor_and_authority_model.md#3-2-core-concepts | Algorithm/admin_governance_console_architecture.md | Algorithm/admin_governance_console_architecture.md#c-delegationgrant | Algorithm/authority_interaction_protocol.md,delegation_grant,DelegationGrant,Delegation Grant,,TERM_DELEGATE | TERM_GATE | TERM_REPORTING_SUBJECT,,high,,3.2 Core concepts
TERM_DERIVED_VALUE,Derived Value,evidence,"A deterministic value produced from one or more canonical facts, such as a category total, adjusted subtotal, or comparison delta.",Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects,,DerivedValue,Derived Value | DerivedValue,,TERM_CANDIDATE_FACT | TERM_CANONICAL_FACT | TERM_EVIDENCE_ITEM | TERM_SOURCE_RECORD,,high,,4.2 Core objects
TERM_DETERMINISTIC_DERIVATION,DETERMINISTIC_DERIVATION,evidence,"A machine-produced, deterministic transformation of canonical facts.",Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,DETERMINISTIC_DERIVATION,DETERMINISTIC_DERIVATION | Deterministic Derivation,,TERM_CANONICAL_FACT,,high,,4.3 Source classes by origin
TERM_DOCUMENTARY_EVIDENCE,DOCUMENTARY_EVIDENCE,evidence,Documents or media that support a fact but require extraction or human review before becoming structured facts.,Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,DOCUMENTARY_EVIDENCE,DOCUMENTARY_EVIDENCE | Documentary Evidence,,,,high,,4.3 Source classes by origin
TERM_DOMINANCE_CONTRACT,Dominance Contract,shell_route,Shared route-stability metadata field in the README spine vocabulary. It binds dominant-question and action posture across route-visible shells.,Algorithm/README.md#shared-spine-vocabulary,dominance_contract,,dominance_contract,,TERM_DOMINANT_QUESTION,Shared-spine route identity field. Preserve exact cross-surface meaning.,high,,Shared Spine Vocabulary
TERM_DOMINANT_QUESTION,Dominant Question,shell_route,"The one governing question a mounted shell or route is answering right now. It anchors summary copy, action posture, automation selectors, and recovery messaging, and it SHALL not drift merely because a background refresh repainted the same object.",Algorithm/README.md#shared-spine-vocabulary | Algorithm/glossary.md::L145[dominant-question],dominant_question,,Dominant Question | dominant_question,,TERM_DRIFT,Shared-spine route identity field. Preserve exact cross-surface meaning.,high,,"Shell, route, and collaboration terms"
TERM_DRIFT,Drift,authority,Any change in facts or configuration that changes outcomes after an earlier decision or submission.,Algorithm/amendment_and_drift_semantics.md | Algorithm/amendment_and_drift_semantics.md#amendment-and-drift-semantics | Algorithm/core_engine.md | Algorithm/data_model.md::L1059[DriftRecord] | Algorithm/glossary.md::L47[drift],drift | drift_record,DriftRecord,Drift,,,,high,,Core engine terms
TERM_EVIDENCE_ITEM,Evidence Item,evidence,"An auditable artifact supporting a fact (bank statement line, invoice, receipt, authority response).",Algorithm/actor_and_authority_model.md | Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects | Algorithm/canonical_source_and_evidence_taxonomy.md#4-9-evidence-item-metadata | Algorithm/data_model.md::L2287[EvidenceItem] | Algorithm/glossary.md::L22[evidence-item] | Algorithm/modules.md#materialize-evidence-items,evidence_item,EvidenceItem,Evidence Item | EvidenceItem,source fact,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_CANDIDATE_FACT | TERM_CANONICAL_FACT | TERM_DERIVED_VALUE | TERM_SOURCE_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,Core engine terms
TERM_EXCEPTIONAL_AUTHORITY,Exceptional authority,authority,"Human override authority used to approve bounded exceptions such as parity-gate overrides, filing-gate overrides, or retention/legal-hold decisions.",Algorithm/actor_and_authority_model.md#3-4-authority-layers,,,Exceptional authority,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_GATE | TERM_OVERRIDE | TERM_PARITY | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,3.4 Authority layers
TERM_EXCEPTIONAL_AUTHORITY_GRANT,Exceptional Authority Grant,authority,"A one-time, incident-linked approval allowing a specifically bounded otherwise-blocked action. It may change internal control posture, but SHALL NOT fabricate authority-of-record truth.",Algorithm/actor_and_authority_model.md | Algorithm/actor_and_authority_model.md#3-2-core-concepts | Algorithm/connector_delegation_contract.md | Algorithm/data_model.md | Algorithm/data_model.md::L97[ExceptionalAuthorityGrant],exceptional_authority_grant,ExceptionalAuthorityGrant,Exceptional Authority Grant,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,3.2 Core concepts
TERM_EXECUTION_MODE_ANALYSIS,Execution Mode ANALYSIS,lineage,Read-only execution mode for counterfactual or analytical outcomes; it must not allocate live compliance submissions or amendment transmit posture.,Algorithm/architecture_coherence_guardrails.md#2-execution-context-propagation | Algorithm/manifest_and_config_freeze_contract.md | Algorithm/replay_and_reproducibility_contract.md,analysis_only | counterfactual_basis | execution_mode,,ANALYSIS | COUNTERFACTUAL_ANALYSIS | execution_mode = ANALYSIS,live-ready analysis,TERM_EXECUTION_MODE_COMPLIANCE,,high,,2. Execution-context propagation / mode rules
TERM_EXECUTION_MODE_COMPLIANCE,Execution Mode COMPLIANCE,lineage,Execution mode in which the engine may produce compliance-capable outcomes; analysis-only allowances remain forbidden.,Algorithm/architecture_coherence_guardrails.md#2-execution-context-propagation | Algorithm/manifest_and_config_freeze_contract.md | Algorithm/replay_and_reproducibility_contract.md,analysis_only | counterfactual_basis | execution_mode | non_compliance_config_refs[],,COMPLIANCE | execution_mode = COMPLIANCE,,TERM_EXECUTION_MODE_ANALYSIS,,high,,2. Execution-context propagation / mode rules
TERM_EXTERNALIZATION_GOVERNANCE_CONTRACT,Externalization Governance Contract,governance,"The shared FE-57 export, download, print, and browser-handoff boundary packet bound into `AuditInvestigationFrame`, portal document and approval artifacts, `EnquiryPack`, and `AuthorityLinkInventoryItem`. It freezes the mounted governed slice, current-versus-history meaning, masking posture, limitation posture, approval posture, invocation-time tenant/access/masking/visibility mirrors, canonical `delivery_binding_hash`, delivery targets, blocking context, and no-detached-scope/no-direct-URL policies so externalized artifacts cannot drift broader, fresher, or differently classified than the slice the user actually reviewed.",Algorithm/admin_governance_console_architecture.md | Algorithm/authority_interaction_protocol.md | Algorithm/customer_client_portal_experience_contract.md | Algorithm/data_model.md | Algorithm/glossary.md::L407[externalization-governance-contract],delivery_binding_hash | externalization_governance_contract,AuditInvestigationFrame | AuthorityLinkInventoryItem | EnquiryPack | ExternalizationGovernanceContract | externalization_governance_contract,Externalization Governance Contract | ExternalizationGovernanceContract | externalization_governance_contract,,TERM_AUDITINVESTIGATIONFRAME | TERM_AUTHORITY | TERM_AUTHORITYLINKINVENTORYITEM | TERM_AUTHORITY_LINK | TERM_DRIFT | TERM_TENANT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_FAILURE_RESOLUTION_CONTRACT,Failure Resolution Contract,shell_route,"The shared FE-45 lifecycle law bound into `ErrorRecord`, `RemediationTask`, `CompensationRecord`, `FailureInvestigation`, and `AcceptedRiskApproval`. It freezes that every material failure must remain a durable object with explicit ownership, one lawful next path, retry and accepted-risk governance, and evidence-backed closure instead of dissolving into logs, notes, or detached workflow.",Algorithm/data_model.md | Algorithm/error_model_and_remediation_model.md | Algorithm/failure_resolution_ownership_and_closure_contract.md | Algorithm/glossary.md::L440[failure-resolution-contract] | Algorithm/modules.md,failure_resolution_contract,AcceptedRiskApproval | CompensationRecord | ErrorRecord | FailureInvestigation | FailureResolutionContract | RemediationTask | failure_resolution_contract,Failure Resolution Contract | FailureResolutionContract | failure_resolution_contract,,TERM_GATE | TERM_OVERRIDE | TERM_STATE_TRANSITION_CONTRACT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_FEEDBACK_TRUTH_POLICY,Feedback Truth Policy,shell_route,"The rule that stale, pending-settlement, recovery, and command-result feedback must be driven by durable `ApiCommandReceipt` truth and typed `ProblemEnvelope` failure posture rather than by local optimistic UI inference.",Algorithm/glossary.md::L515[feedback-truth-policy],feedback_truth_policy,ApiCommandReceipt | ProblemEnvelope,Feedback Truth Policy | feedback_truth_policy,,,,high,,"Shell, route, and collaboration terms"
TERM_FOCUS_RESTORATION_CONTRACT,Focus Restoration Contract,shell_route,"The grouped deep-link and recovery envelope that preserves the originally requested focus anchor, the focus anchor actually restored now, one explicit restoration disposition, and one explicit reason whenever refresh, reconnect, notification open, responsive collapse, or native scene restoration cannot land on the exact prior focus target. `EXACT_FOCUS` means the requested and resolved anchors match, `REMAPPED_FOCUS` means the same route recovered to a different lawful anchor, `OBJECT_SUMMARY` means the shell kept the same mounted object but fell back to its summary posture, `PARENT_RETURN` means the detail route had to return to its governed parent target, and `INVALIDATED` means restoration itself is no longer lawful.",Algorithm/focus_restoration_and_return_target_harness_contract.md | Algorithm/focus_restoration_and_return_target_harness_contract.md#focus-restoration-and-return-target-harness-contract | Algorithm/glossary.md::L328[focus-restoration-contract],focus_restoration | focus_restoration_contract,FocusRestorationContract | INVALIDATED,Focus Restoration Contract | FocusRestorationContract | focus_restoration,,,,high,,"Shell, route, and collaboration terms"
TERM_FOCUS_RESTORE_RETURN_TARGET_HARNESS,Focus Restore Return-Target Harness,shell_route,"The deterministic regression artifact for action-driven focus restoration. It freezes keyboard-first close, back, help-return, stale-fallback, live-update, and secondary-window-dismissal cases together with the serialized invoker, parent-return, and fallback anchors plus browser/native identifier mirrors so focus restore stays part of the route contract instead of browser history guesswork.",Algorithm/cross_device_continuity_and_restoration_contract.md | Algorithm/data_model.md | Algorithm/focus_restoration_and_return_target_harness_contract.md | Algorithm/glossary.md::L139[focus-restore-return-target-harness] | Algorithm/modules.md#run-focus-restore-return-target-harness,focus_restore_return_target_harness,FocusRestoreReturnTargetHarness | focus_restore_return_target_harness,Focus Restore Return-Target Harness | FocusRestoreReturnTargetHarness | focus_restore_return_target_harness,,TERM_FOCUS_RESTORATION_CONTRACT,,high,,"Shell, route, and collaboration terms"
TERM_FORENSIC_CLOSURE_REGISTER,Forensic Closure Register,observability,"The mirrored table shared by `AUDIT_FINDINGS.md` and `PATCH_RESOLUTION_INDEX.md` that maps every numbered historical finding to its owning prompt stages, authoritative corpus, and resolution mechanism families. It is the repo-level closure gate for historical material defects, not a substitute for live audit or provenance evidence.",Algorithm/glossary.md::L524[forensic-closure-register],,AUDIT_FINDINGS.md | PATCH_RESOLUTION_INDEX.md,Forensic Closure Register,,TERM_GATE,,medium,,"Shell, route, and collaboration terms"
TERM_FROZEN_EXECUTION_BINDING,Frozen Execution Binding,shell_route,"The manifest-owned ref and hash packet that post-seal workers, retries, and recovery flows must consume. It mirrors the sealed `manifest_hash`, `execution_basis_hash`, config/input freeze identities, executable scope, and other worker-safe frozen fields so downstream jobs do not re-resolve live config, live input, or mutated lineage after freeze. It also preserves the complete continuation/inheritance mirror (`continuation_of_manifest_id`, `parent_manifest_hash_at_branch`, config/input inheritance modes, inherited-freeze refs, and fresh-child reason codes) so worker reload does not reconstruct branch causality from adjacent objects.",Algorithm/glossary.md::L168[frozen-execution-binding],continuation_of_manifest_id | execution_basis_hash | frozen_execution_binding | manifest_hash | parent_manifest_hash_at_branch,,Frozen Execution Binding | frozen_execution_binding,,,,high,,"Shell, route, and collaboration terms"
TERM_GATE,Gate,observability,"A policy decision point that permits, warns, or blocks downstream operations based on trust and compliance rules.",Algorithm/glossary.md::L35[gate],,,Gate,,TERM_EXECUTION_MODE_COMPLIANCE | TERM_FAILURE_RESOLUTION_CONTRACT | TERM_OVERRIDE | TERM_STATE_TRANSITION_CONTRACT,,high,,Core engine terms
TERM_GATE_SEMANTICS_CONTRACT,Gate Semantics Contract,shell_route,"The grouped non-access gate semantics packet copied into each `GateDecisionRecord`. It freezes the decision-rank mapping, monotone progression rank, blocking class, reason-order profile, and whether progression was override-independent, valid-override-governed, override-required-but-missing, or override-forbidden so downstream read models do not infer legal progression from the raw decision enum alone.",Algorithm/core_engine.md | Algorithm/data_model.md | Algorithm/exact_gate_logic_and_decision_tables.md | Algorithm/glossary.md::L218[gate-semantics-contract] | Algorithm/modules.md,gate_semantics_contract,GateDecisionRecord | GateSemanticsContract | gate_semantics_contract,Gate Semantics Contract | GateSemanticsContract | gate_semantics_contract,,TERM_GATE | TERM_OVERRIDE,,high,,"Shell, route, and collaboration terms"
TERM_GOVERNANCEPOLICYSNAPSHOT,GovernancePolicySnapshot,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/admin_governance_console_architecture.md | Algorithm/data_model.md | Algorithm/data_model.md::L1950[GovernancePolicySnapshot] | Algorithm/invention_and_system_boundary.md,governance_policy_snapshot,GovernancePolicySnapshot,GovernancePolicySnapshot,,,,high,,Shared Spine Vocabulary
TERM_GOVERNANCE_ARTIFACT,Governance Artifact,evidence,"A human or system control artifact such as an override, rationale, approval note, or retention action. Governance artifacts affect interpretation but are not themselves source truth for transactional facts.",Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects | Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,GOVERNANCE_ARTIFACT | GovernanceArtifact,GOVERNANCE_ARTIFACT | Governance Artifact | GovernanceArtifact,,TERM_OVERRIDE,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,4.2 Core objects
TERM_GOVERNANCE_DENSITY_SHELL,GOVERNANCE_DENSITY_SHELL,shell_route,Canonical shell-family enum value for governance-density routes.,Algorithm/README.md#shared-spine-vocabulary,,,GOVERNANCE_DENSITY_SHELL,,TERM_SHELL_FAMILY,Closed shared-spine vocabulary. Do not rename or paraphrase when serializing shell ownership.,high,,Shared Spine Vocabulary
TERM_GOVERNANCE_INTERACTION_LAYER,Governance Interaction Layer,shell_route,"The shared interaction contract for governance console routes. It freezes density profile, canonical filter grammar, support-surface promotion, semantic selector profile, diff/basket continuity, export posture, and keyboard/focus restoration across overview, policy, access, authority-link, retention, and audit routes.",Algorithm/README.md#shared-spine-vocabulary | Algorithm/admin_governance_console_architecture.md | Algorithm/admin_governance_console_architecture.md#6-7-governance-interaction-layer | Algorithm/cross_shell_design_token_and_interaction_layer_foundation_contract.md | Algorithm/data_model.md | Algorithm/glossary.md::L381[governance-interaction-layer],governance_interaction_layer,GovernanceInteractionLayer,Governance Interaction Layer | GovernanceInteractionLayer,,TERM_AUTHORITY | TERM_AUTHORITY_LINK | TERM_FOCUS_RESTORATION_CONTRACT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_GOVERNANCE_MUTATION_HAZARD_CONTRACT,Governance Mutation Hazard Contract,governance,"The grouped bounded governance mutation-risk packet published by `GovernanceAccessSimulation` and reused by `GovernancePolicySnapshot` basket and blast-radius surfaces. It freezes the exact `policy_snapshot_hash`, `access_binding_hash`, `dependency_topology_hash`, `simulation_basis_hash`, the canonical lower/upper blast-radius interval, classed impacted counts, quantitative policy-risk contributors, approval and commit posture, confidence and predictability posture, and the ordered driver/trigger/blocker explanation arrays. Its `hazard_contract_hash` is the durable reviewed risk identity that `mutation_basis_contract.hazard_contract_hash` must mirror before a governance write can proceed.",Algorithm/glossary.md::L224[governance-mutation-hazard-contract] | Algorithm/policy_risk_and_blast_radius_modeling_contract.md,access_binding_hash | dependency_topology_hash | governance_mutation_hazard_contract | hazard_contract_hash | mutation_hazard | policy_snapshot_hash | simulation_basis_hash,GovernanceAccessSimulation | GovernanceMutationHazardContract | GovernancePolicySnapshot,Governance Mutation Hazard Contract | GovernanceMutationHazardContract | mutation_hazard,,TERM_ACCESS_BINDING | TERM_ACCESS_BINDING_HASH | TERM_GOVERNANCEPOLICYSNAPSHOT | TERM_NIGHTLY_PORTFOLIO_SIMULATION_BASIS_CONTRACT | TERM_SNAPSHOT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_GUARD_VECTOR_HASH,Guard Vector Hash,shell_route,"The canonical hash over the active stale-view guard components for the current route generation. It changes whenever any governing marker in the route's legal mutation basis changes, so clients can detect mixed-generation cache, stream, and recovery state without reconstructing marker equivalence locally.",Algorithm/glossary.md::L323[guard-vector-hash],guard_vector_hash,,Guard Vector Hash | guard_vector_hash,,TERM_CLIENT | TERM_VISIBILITY_BOUNDARY_CLASSES,Customer-safe or customer-visible wording must not redefine internal operator semantics.,high,,"Shell, route, and collaboration terms"
TERM_HISTORICAL_POST_SEAL_BASIS,Historical Post-Seal Basis,shell_route,"The replay-safe authority and late-data lineage packet stored inside `append_only_outcome_projection`. It preserves either an explicit null sentinel or the exact post-seal authority-context, late-data-monitor, authority-calculation, and drift-record hash/ref set that materially affected a completed outcome.",Algorithm/glossary.md::L308[historical-post-seal-basis],append_only_outcome_projection | post_seal_basis,,Historical Post-Seal Basis | post_seal_basis,,TERM_APPEND_ONLY_OUTCOME_PROJECTION | TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_DRIFT | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_INFERENCE_RECORD,Inference Record,evidence,A non-primary linkage or imputed conclusion produced by matching or inference logic and always accompanied by confidence and explanation.,Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects,,InferenceRecord,Inference Record | InferenceRecord,,,,high,,4.2 Core objects
TERM_INSIDE_THE_ENGINE,Inside the Engine,core_engine,"Functionality inside the core engine boundary where canonical collection, normalization, computation, explanation, filing packet generation, authority acknowledgement capture, and drift assessment occur.",Algorithm/invention_and_system_boundary.md#2-system-boundary-what-happens-inside-the-engine-and-what-stays-outside,,,,,TERM_AUTHORITY | TERM_AUTHORITY_ACKNOWLEDGEMENT | TERM_AUTHORITY_OF_RECORD | TERM_DRIFT | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,low,,2) System boundary
TERM_INSTITUTIONAL_FEED,INSTITUTIONAL_FEED,evidence,Structured data pulled from an institution or system-of-record provider through a connector.,Algorithm/canonical_source_and_evidence_taxonomy.md#4-3-source-classes-by-origin,,INSTITUTIONAL_FEED,INSTITUTIONAL_FEED | Institutional Feed,,TERM_CONNECTOR,,high,,4.3 Source classes by origin
TERM_INTERACTIONLAYERFOUNDATIONCONTRACT,InteractionLayerFoundationContract,shell_route,"Shared root contract for portal, operator, and governance interaction layers.",Algorithm/README.md#shared-spine-vocabulary | Algorithm/admin_governance_console_architecture.md | Algorithm/collaboration_workspace_contract.md | Algorithm/cross_shell_design_token_and_interaction_layer_foundation_contract.md | Algorithm/cross_shell_design_token_and_interaction_layer_foundation_contract.md#cross-shell-design-token-and-interaction-layer-foundation-contract,interaction_layer_foundation_contract,InteractionLayerFoundationContract,InteractionLayerFoundationContract,,TERM_GOVERNANCE_INTERACTION_LAYER,Interaction-layer boundary between server-authored semantics and renderer translation.,high,,Shared Spine Vocabulary
TERM_LATE_DATA_CONSEQUENCE_SUMMARY,Late-Data Consequence Summary,shell_route,"The immutable monitor-result summary that separates raw late-data counts from final legal consequence. It records the persisted classification counts, the highest downstream consequence, temporal-uncertainty blocking posture, and whether retroactive impact, trust invalidation, proof staleness, or amendment-reuse invalidation are required.",Algorithm/glossary.md::L271[late-data-consequence-summary],late_data_consequence_summary | temporal_consequence_summary,LateDataConsequenceSummary,Late-Data Consequence Summary | temporal_consequence_summary,,,,high,,"Shell, route, and collaboration terms"
TERM_LATE_DATA_RETROACTIVE_IMPACT_SIMULATION,Late-Data Retroactive-Impact Simulation,shell_route,"The analysis-only artifact that replays the canonical five temporal classes against a frozen historical basis and emits one of five explicit consequence buckets: `CURRENT_ONLY`, `EXPLANATION_ONLY`, `AMENDMENT_TRIGGERING`, `REPLAY_TRIGGERING`, or `REVIEW_BLOCKED`. It proves whether late data affects only current scope, requires explanation, restates prior positions, forces replay, or blocks on temporal uncertainty without mutating prior legal truth.",Algorithm/data_model.md | Algorithm/data_model.md::L2346[LateDataRetroactiveImpactSimulationBasisContract] | Algorithm/data_model.md::L2358[LateDataRetroactiveImpactSimulation] | Algorithm/glossary.md::L284[late-data-retroactive-impact-simulation] | Algorithm/late_data_policy_contract.md | Algorithm/modules.md,late_data_retroactive_impact_simulation | late_data_retroactive_impact_simulation_basis_contract,LateDataRetroactiveImpactSimulation | LateDataRetroactiveImpactSimulationBasisContract,Late-Data Retroactive-Impact Simulation | LateDataRetroactiveImpactSimulation,,TERM_EXECUTION_MODE_ANALYSIS,,high,,"Shell, route, and collaboration terms"
TERM_LATE_DATA_RETROACTIVE_IMPACT_SIMULATION_BASIS_CONTRACT,Late-Data Retroactive-Impact Simulation Basis Contract,shell_route,"The immutable historical-basis packet for counterfactual late-data analysis. It freezes the exact source manifest, execution basis, cutoff, baseline, covered scopes, covered submission chain, monitor/finding lineage, temporal-propagation lineage, proof lineage, and pinned analysis policies so FE-93 simulation never reclassifies history from live rescans or widens beyond the declared legal slice.",Algorithm/data_model.md | Algorithm/data_model.md::L2346[LateDataRetroactiveImpactSimulationBasisContract] | Algorithm/glossary.md::L277[late-data-retroactive-impact-simulation-basis-contract] | Algorithm/late_data_policy_contract.md | Algorithm/modules.md,late_data_retroactive_impact_simulation_basis_contract,LateDataRetroactiveImpactSimulationBasisContract | late_data_retroactive_impact_simulation_basis_contract,Late-Data Retroactive-Impact Simulation Basis Contract | LateDataRetroactiveImpactSimulationBasisContract | late_data_retroactive_impact_simulation_basis_contract,,TERM_EXECUTION_MODE_ANALYSIS,,high,,"Shell, route, and collaboration terms"
TERM_LATE_DATA_TEMPORAL_CONTRACT,Late-Data Temporal Contract,shell_route,"The immutable per-indicator or per-finding temporal truth packet. It freezes `t_cutoff`, `t_effective`, `t_visible`, `t_discovered`, the resolved temporal class (`TEMPORALLY_UNPROVED`, `AUTHORITY_POSTING_LAG`, `TRUE_POST_BASELINE_EVENT`, `PRE_CUTOFF_PREEXISTING_LATE_ARRIVAL`, `POST_CUTOFF_DISCOVERY_PRE_BASELINE_FACT`), baseline-touch scope, and whether trust, proof, or amendment reuse must be invalidated.",Algorithm/glossary.md::L264[late-data-temporal-contract] | Algorithm/modules.md,late_data_temporal_contract | t_cutoff | t_discovered | t_effective | t_visible | temporal_classification_contract,LateDataTemporalContract | temporal_classification_contract,Late-Data Temporal Contract | LateDataTemporalContract | temporal_classification_contract,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,high,,"Shell, route, and collaboration terms"
TERM_LEGAL_SUBJECT_AUTHORITY,Legal subject authority,authority,"The reporting subject's own right to submit, declare, or authorise action concerning their reporting position.",Algorithm/actor_and_authority_model.md#3-4-authority-layers,,,Legal subject authority,,TERM_REPORTING_SUBJECT,,high,,3.4 Authority layers
TERM_LINEAGE_BOUNDARY,Lineage Boundary,lineage,"The explicit record of where a provenance query crosses from one manifest lineage segment to another, such as continuation, replay, recovery, or supersession. These boundaries prevent cross-manifest explanation chains from collapsing into one ambiguous proof path.",Algorithm/glossary.md::L105[lineage-boundary],lineage_boundaries[],,Lineage Boundary,,,,high,,Provenance and explanation terms
TERM_LOWNOISEEXPERIENCEFRAME,LowNoiseExperienceFrame,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/cross_device_continuity_and_restoration_contract.md | Algorithm/data_model.md::L1412[LowNoiseExperienceFrame] | Algorithm/low_noise_experience_contract.md | Algorithm/state_machines.md#6-24-lownoiseexperienceframe-attention-state-and-lownoiseexperienceframe-presentation-state,low_noise_experience_frame,LowNoiseExperienceFrame,LowNoiseExperienceFrame,,,,high,,Shared Spine Vocabulary
